         1331522 function calls (1305160 primitive calls) in 1.307 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      201    0.001    0.000    0.038    0.000 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/nn/modules/container.py:245(forward)
        1    0.000    0.000    0.034    0.034 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/distributed/tensor/_dtensor_spec.py:1(<module>)
      802    0.003    0.000    0.034    0.000 <frozen importlib._bootstrap>:1243(_find_spec)
        1    0.000    0.000    0.034    0.034 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/distributed/tensor/placement_types.py:1(<module>)
      253    0.001    0.000    0.033    0.000 /Library/Frameworks/Python.framework/Versions/3.14/lib/python3.14/dataclasses.py:478(add_fns_to_class)
        1    0.000    0.000    0.032    0.032 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/onnx/__init__.py:1(<module>)
     1600    0.031    0.000    0.031    0.000 {method 'addcdiv_' of 'torch._C.TensorBase' objects}
        1    0.000    0.000    0.031    0.031 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/distributed/tensor/_collective_utils.py:1(<module>)
      253    0.000    0.000    0.031    0.000 /Library/Frameworks/Python.framework/Versions/3.14/lib/python3.14/dataclasses.py:1342(dataclass)
        1    0.000    0.000    0.031    0.031 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/library.py:1056(register)
     1600    0.030    0.000    0.030    0.000 {method 'addcmul_' of 'torch._C.TensorBase' objects}
      802    0.000    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1287(find_spec)
      802    0.001    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1258(_get_spec)
        1    0.000    0.000    0.027    0.027 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/sympy/core/__init__.py:1(<module>)
      934    0.003    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1360(find_spec)
        1    0.000    0.000    0.026    0.026 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/_inductor/__init__.py:1(<module>)
        1    0.000    0.000    0.026    0.026 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/_inductor/standalone_compile.py:1(<module>)
